colName,betaDiff?,zeroCDF_hat,2-side p-value_hat,2-side LB_hat (<= 0.025),2-side UB_hat (>= 0.975),2-side failToReject,1-side p-value_hat,1-side LB_hat (<= 0.05),1-side failToReject
Bubble_Chart&find_extremum&reVLAT_NoVizChoices,False,0.89,0.21999999999999997,-0.0865620305898875,0.0146554248181489,True,0.89,-0.07688718768045971,True
Bubble_Chart&determine_range&reVLAT_VizChoices,True,0.5531347298944336,0.8937305402111329,-0.11693648750800666,0.10188062315755661,True,0.5531347298944336,-0.09929281736656509,True
Bubble_Chart&determine_range&reVLAT_NoVizChoices,False,1.0,0.0,-0.3246824732069195,-0.1585759004440282,False,1.0,-0.31043805395372287,True
Bubble_Chart&find_anomalies&reVLAT_VizChoices,False,0.0,0.0,0.3630081562872098,0.5634747081063458,False,0.0,0.3832172418890591,False
Bubble_Chart&find_anomalies&reVLAT_NoVizChoices,True,0.8193100958844532,0.3613798082310935,-0.1559955080107065,0.05784927232253315,True,0.8193100958844532,-0.13893883512299368,True
Bubble_Chart&find_clusters&reVLAT_VizChoices,True,0.9157143880242138,0.16857122395157242,-0.21739225031733153,0.03834334149938083,True,0.9157143880242138,-0.19723312091929074,True
Bubble_Chart&find_clusters&reVLAT_NoVizChoices,True,1.5060237707400752e-06,3.0120475414801505e-06,0.18263037475262334,0.43127101381080146,False,1.5060237707400752e-06,0.20354420914854687,False
Bubble_Chart&find_correlations_trends&reVLAT_VizChoices,False,1.0,0.0,-0.12371014930434787,-0.03287022145204477,False,1.0,-0.1153921050301091,True
Bubble_Chart&find_correlations_trends&reVLAT_NoVizChoices,False,0.014,0.028,0.007848352806003156,0.06833913022939997,False,0.014,0.008458118346146626,False
Bubble_Chart&make_comparisons&reVLAT_VizChoices,False,1.0,0.0,-0.1484686621603521,-0.04386199447224309,False,1.0,-0.13634800055436866,True
Bubble_Chart&make_comparisons&reVLAT_NoVizChoices,False,1.0,0.0,-0.771256621412611,-0.6039968179978389,False,1.0,-0.7603379856588235,True
Area_Chart&reVLAT_VizChoices&retrieve_value,True,0.003160180642148123,0.006320361284296246,0.040376397276786144,0.24238322396575712,False,0.003160180642148123,0.056725223149217116,False
Area_Chart&reVLAT_NoVizChoices&retrieve_value,True,0.0250262353508692,0.0500524707017384,-2.3728038991104057e-05,0.20497684429363636,True,0.0250262353508692,0.01660128214184485,False
Area_Chart&find_extremum&reVLAT_VizChoices,True,0.994804340946781,0.010391318106437897,-0.275966533076908,-0.037298996369407776,False,0.994804340946781,-0.2572264835944337,True
Area_Chart&find_extremum&reVLAT_NoVizChoices,True,0.004340654607274296,0.008681309214548592,0.0438329580476515,0.2970462590084349,False,0.004340654607274296,0.06460555702502568,False
Area_Chart&determine_range&reVLAT_VizChoices,True,0.012441665663794472,0.024883331327588944,0.013976717802405978,0.20428128571610096,False,0.012441665663794472,0.02941968139881431,False
Area_Chart&determine_range&reVLAT_NoVizChoices,True,0.05033950903031525,0.1006790180606305,-0.01776733104529172,0.19898484266779448,True,0.05033950903031525,-0.0001829177169867925,True
Area_Chart&find_correlations_trends&reVLAT_VizChoices,False,0.0,0.0,1.6434471217241509e-07,9.945370276986942e-06,False,0.0,2.571167045939404e-07,False
Area_Chart&find_correlations_trends&reVLAT_NoVizChoices,False,0.0,0.0,0.2380824021641531,0.40904185836953477,False,0.0,0.25231894921548903,False
Stacked_Area_Chart&reVLAT_VizChoices&retrieve_value,True,0.9295818352639204,0.1408363294721593,-0.14387572602988344,0.020441761949589448,True,0.9295818352639204,-0.13069372899054826,True
Stacked_Area_Chart&reVLAT_NoVizChoices&retrieve_value,True,0.9862320490645207,0.027535901870958668,-0.16514559374683932,-0.009741618236309708,False,0.9862320490645207,-0.15271089706049734,True
Stacked_Area_Chart&find_extremum&reVLAT_VizChoices,False,1.0,0.0,-0.02648149437162158,-9.495650875002737e-08,False,1.0,-0.023437515272491417,True
Stacked_Area_Chart&find_extremum&reVLAT_NoVizChoices,False,1.0,0.0,-0.06872138546005406,-0.007970588201464431,False,1.0,-0.0624626128611405,True
